City_ID,City,Country,Date,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
108,Vaini,TO,2021-01-31 17:05:51,2021-01-31 17:05:51,-21.2,-175.2,77.0,88,90,10.36
109,Airai,TL,2021-01-31 17:09:43,2021-01-31 17:09:43,-8.9266,125.4092,61.39,100,100,3.15
110,Albany,US,2021-01-31 17:06:12,2021-01-31 17:06:12,42.6001,-73.9662,16.0,52,99,2.44
111,Castro,BR,2021-01-31 17:05:45,2021-01-31 17:05:45,-24.7911,-50.0119,72.27,80,99,8.46
112,Imbituba,BR,2021-01-31 17:09:40,2021-01-31 17:09:40,-28.24,-48.6703,86.0,66,40,17.27
113,Samarai,PG,2021-01-31 17:09:43,2021-01-31 17:09:43,-10.6167,150.6667,82.42,75,69,15.12
114,Bethel,US,2021-01-31 17:09:43,2021-01-31 17:09:43,41.3712,-73.414,23.0,53,1,2.35
115,Arman,RU,2021-01-31 17:09:44,2021-01-31 17:09:44,59.7,150.1667,-15.03,76,99,12.86
116,Nedelino,BG,2021-01-31 17:09:44,2021-01-31 17:09:44,41.45,25.0833,57.0,84,100,5.01
117,Amalapuram,IN,2021-01-31 17:09:44,2021-01-31 17:09:44,16.5833,82.0167,77.0,78,26,6.91
118,Shimoda,JP,2021-01-31 17:09:44,2021-01-31 17:09:44,34.6667,138.95,35.01,67,77,8.28
119,Ndele,CF,2021-01-31 17:09:44,2021-01-31 17:09:44,8.4109,20.6473,87.08,19,0,4.68
120,Khuzhir,RU,2021-01-31 17:09:44,2021-01-31 17:09:44,53.1939,107.3397,-18.87,78,9,7.27
121,Tiznit,MA,2021-01-31 17:09:45,2021-01-31 17:09:45,29.5833,-9.5,68.13,53,0,4.07
122,Butaritari,KI,2021-01-31 17:09:45,2021-01-31 17:09:45,3.0707,172.7902,80.58,82,66,14.18
123,Ilanskiy,RU,2021-01-31 17:09:45,2021-01-31 17:09:45,56.2358,96.065,-34.28,82,0,4.29
124,Alice Springs,AU,2021-01-31 17:06:37,2021-01-31 17:06:37,-23.7,133.8833,84.99,39,11,11.77
125,Naze,JP,2021-01-31 17:09:45,2021-01-31 17:09:45,28.3667,129.4833,58.03,64,7,10.16
126,Ulety,RU,2021-01-31 17:09:45,2021-01-31 17:09:45,51.3572,112.4849,-21.95,80,74,11.01
127,Zhuzhou,CN,2021-01-31 17:09:46,2021-01-31 17:09:46,27.8333,113.15,50.0,93,75,6.71
128,Carnarvon,AU,2021-01-31 17:09:46,2021-01-31 17:09:46,-24.8667,113.6333,84.2,61,12,18.41
129,Tucumcari,US,2021-01-31 17:09:46,2021-01-31 17:09:46,35.1717,-103.725,44.6,45,1,8.05
130,Jerantut,MY,2021-01-31 17:09:46,2021-01-31 17:09:46,3.936,102.3626,72.01,93,99,1.05
131,Tasiilaq,GL,2021-01-31 17:09:46,2021-01-31 17:09:46,65.6145,-37.6368,17.6,49,75,1.14
132,Careiro Da Varzea,BR,2021-01-31 17:09:46,2021-01-31 17:09:46,-3.2003,-59.8119,87.8,70,40,3.44
133,Turukhansk,RU,2021-01-31 17:09:47,2021-01-31 17:09:47,65.8167,87.9833,-15.05,83,100,10.45
134,Whitehorse,CA,2021-01-31 17:04:57,2021-01-31 17:04:57,60.7161,-135.0538,-14.8,76,75,4.61
135,Malibu,US,2021-01-31 17:09:47,2021-01-31 17:09:47,34.005,-118.8101,59.0,64,99,1.01
136,Tulum,MX,2021-01-31 17:05:08,2021-01-31 17:05:08,20.2167,-87.4667,77.0,83,75,11.5
137,Batemans Bay,AU,2021-01-31 17:09:47,2021-01-31 17:09:47,-35.7167,150.1833,63.0,96,85,1.99
138,Santa Cruz,BO,2021-01-31 17:09:17,2021-01-31 17:09:17,-17.8,-63.1667,86.32,58,54,15.9
139,Kununurra,AU,2021-01-31 17:09:47,2021-01-31 17:09:47,-15.7667,128.7333,78.8,85,75,1.14
140,Cherskiy,RU,2021-01-31 17:09:47,2021-01-31 17:09:47,68.75,161.3,-22.36,81,100,5.5
141,Plettenberg Bay,ZA,2021-01-31 17:09:48,2021-01-31 17:09:48,-34.0527,23.3716,72.39,73,0,8.14
142,Boa Vista,BR,2021-01-31 17:09:41,2021-01-31 17:09:41,2.8197,-60.6733,89.6,51,75,16.11
143,Dossor,KZ,2021-01-31 17:09:48,2021-01-31 17:09:48,47.5272,52.9811,28.81,98,92,5.75
144,Gat,IL,2021-01-31 17:09:48,2021-01-31 17:09:48,31.61,34.7642,61.0,16,0,5.39
145,Uruzgan,AF,2021-01-31 17:09:48,2021-01-31 17:09:48,32.8333,66.0,43.09,57,0,2.1
146,Saint-Pierre,RE,2021-01-31 17:09:48,2021-01-31 17:09:48,-21.3393,55.4781,82.4,61,0,19.57
147,Sidney,AU,2021-01-31 17:08:41,2021-01-31 17:08:41,-33.8679,151.2073,71.6,83,75,10.36
148,Namatanai,PG,2021-01-31 17:05:50,2021-01-31 17:05:50,-3.6667,152.4333,80.13,73,100,3.91
149,Mbini,GQ,2021-01-31 17:09:49,2021-01-31 17:09:49,1.574,9.6134,86.0,74,20,6.91
150,Broken Hill,AU,2021-01-31 17:09:49,2021-01-31 17:09:49,-31.95,141.4333,75.2,27,58,11.5
151,Albanel,CA,2021-01-31 17:09:49,2021-01-31 17:09:49,48.8832,-72.4487,1.4,66,0,4.61
152,Cua,VE,2021-01-31 17:09:49,2021-01-31 17:09:49,10.1589,-66.8858,78.8,78,75,7.99
153,Arraial Do Cabo,BR,2021-01-31 17:09:50,2021-01-31 17:09:50,-22.9661,-42.0278,86.0,54,0,23.02
154,East London,ZA,2021-01-31 17:09:50,2021-01-31 17:09:50,-33.0153,27.9116,77.0,83,75,8.05
155,Lebu,CL,2021-01-31 17:09:50,2021-01-31 17:09:50,-37.6167,-73.65,63.0,70,0,14.29
156,Roald,NO,2021-01-31 17:09:50,2021-01-31 17:09:50,62.5833,6.1333,30.2,93,90,5.75
157,Kargil,IN,2021-01-31 17:09:50,2021-01-31 17:09:50,34.5667,76.1,0.52,75,100,0.89
158,Cabo San Lucas,MX,2021-01-31 17:09:50,2021-01-31 17:09:50,22.8909,-109.9124,69.8,78,75,5.75
159,Westport,US,2021-01-31 17:05:38,2021-01-31 17:05:38,41.1415,-73.3579,23.0,45,1,8.05
160,Drochia,MD,2021-01-31 17:09:51,2021-01-31 17:09:51,48.035,27.8161,28.38,99,100,5.55
161,Khatanga,RU,2021-01-31 17:06:01,2021-01-31 17:06:01,71.9667,102.5,-44.72,79,49,4.63
162,Baruun-Urt,MN,2021-01-31 17:06:56,2021-01-31 17:06:56,46.6806,113.2792,-14.28,87,92,6.15
163,Qaanaaq,GL,2021-01-31 17:09:51,2021-01-31 17:09:51,77.484,-69.3632,-3.73,88,100,0.76
164,Sendenhorst,DE,2021-01-31 17:05:54,2021-01-31 17:05:54,51.8333,7.8333,32.0,83,100,9.42
165,Touros,BR,2021-01-31 17:09:52,2021-01-31 17:09:52,-5.1989,-35.4608,87.8,51,40,18.41
166,Klaksvik,FO,2021-01-31 17:09:52,2021-01-31 17:09:52,62.2266,-6.589,28.4,69,20,12.66
167,Vardo,NO,2021-01-31 17:09:52,2021-01-31 17:09:52,70.3705,31.1107,26.6,93,75,13.8
168,Kurumkan,RU,2021-01-31 17:09:52,2021-01-31 17:09:52,54.3,110.3,-22.02,75,70,3.8
169,Nikolskoye,RU,2021-01-31 17:09:52,2021-01-31 17:09:52,59.7035,30.7861,24.8,93,75,4.47
170,Stromness,GB,2021-01-31 17:09:52,2021-01-31 17:09:52,58.965,-3.296,32.0,93,40,1.14
171,Antalaha,MG,2021-01-31 17:09:52,2021-01-31 17:09:52,-14.9003,50.2788,78.89,79,2,6.2
172,Yanggu,CN,2021-01-31 17:09:53,2021-01-31 17:09:53,36.1106,115.7753,43.36,49,94,8.23
