City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
316,Maxixe,MZ,-23.8597,35.3472,79.74,84,6,7.76,clear sky
317,Bubaque,GW,11.2833,-15.8333,78.91,70,95,11.92,overcast clouds
318,Sembe,CG,1.6481,14.5806,73.78,86,95,2.68,light rain
319,Preobrazheniye,RU,42.9019,133.9064,26.01,97,100,7.67,snow
320,Makakilo City,US,21.3469,-158.0858,75.2,78,75,5.75,broken clouds
321,Basco,PH,20.4487,121.9702,71.94,71,89,18.5,overcast clouds
322,Wajir,KE,1.7471,40.0573,84.22,25,87,10.51,overcast clouds
323,Gazli,UZ,40.1333,63.45,42.82,60,70,3.29,broken clouds
324,Samana,DO,19.2056,-69.3369,82.4,78,75,9.22,broken clouds
325,Ocumare Del Tuy,VE,10.1165,-66.7761,80.6,78,40,7.31,scattered clouds
326,Itarema,BR,-2.9248,-39.9167,83.17,71,0,16.55,clear sky
327,Port Pirie,AU,-33.1833,138.0167,68.0,83,100,10.36,overcast clouds
328,Pareora,NZ,-44.4871,171.2132,64.0,77,80,5.01,broken clouds
329,Aitape,PG,-3.1374,142.3475,77.32,91,100,8.48,heavy intensity rain
330,Kavieng,PG,-2.5744,150.7967,83.12,81,100,10.83,light rain
331,Las Vegas,US,36.175,-115.1372,57.0,33,1,3.87,clear sky
332,Takoradi,GH,4.8845,-1.7554,80.11,84,75,10.74,broken clouds
333,Scarborough,GB,54.2797,-0.4044,37.0,74,100,4.0,overcast clouds
334,Chiredzi,ZW,-21.05,31.6667,75.33,78,2,5.66,clear sky
335,Caravelas,BR,-17.7125,-39.2481,80.82,68,73,8.97,broken clouds
336,Newport,GB,51.5877,-2.9984,37.0,97,100,1.01,overcast clouds
337,Visby,SE,57.6409,18.296,28.99,80,90,9.22,overcast clouds
338,Kruisfontein,ZA,-34.0033,24.7314,73.99,72,33,8.99,scattered clouds
339,Inongo,CD,-1.95,18.2667,75.6,79,7,4.12,clear sky
340,Potchefstroom,ZA,-26.7167,27.1,69.62,80,100,2.77,light rain
341,Monrovia,LR,6.3005,-10.7969,80.6,89,75,10.56,broken clouds
342,Lypova Dolyna,UA,50.5643,33.7979,21.63,97,69,6.58,broken clouds
343,Scottsbluff,US,41.8666,-103.6672,46.4,31,1,13.8,clear sky
344,Verkhoyansk,RU,67.5447,133.385,-46.46,75,100,0.76,overcast clouds
345,Rorvik,NO,64.8621,11.2373,24.8,100,75,8.05,light snow
346,Codrington,AU,-38.2667,141.9667,52.86,85,100,6.02,overcast clouds
