City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
687,Sinnamary,GF,79.47,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
688,Beloha,MG,77.95,scattered clouds,-25.1667,45.05,
689,Loa Janan,ID,72.61,overcast clouds,-0.583,117.095,Pondok hijau 2A
690,Gigmoto,PH,76.33,overcast clouds,13.7796,124.39,Cj's Travellers Inn
691,Jawhar,SO,72.21,clear sky,2.7809,45.5005,cosoble spare parts
692,Maracaibo,VE,87.08,scattered clouds,10.6317,-71.6406,Motel Aladdin
693,Kuah,MY,80.6,few clouds,6.3265,99.8432,Azio Hotel
695,Sokoto,NG,76.3,clear sky,13.0609,5.239,Grand Ibro Hotel
698,Quelimane,MZ,79.11,clear sky,-17.8786,36.8883,Hotel Flamingo
699,Aripuana,BR,89.69,light rain,-9.1667,-60.6333,
